-10.000000,0.
-9.500000,0.
-9.000000,0.
-8.500000,0.
-8.000000,0.
-7.500000,0.
-7.000000,0.
-6.500000,0.
-6.000000,0.
-5.500000,0.
-5.000000,0.
-4.500000,0.
-4.000000,0.
-3.500000,0.
-3.000000,7.
-2.500000,48.
-2.000000,193.
-1.500000,511.
-1.000000,917.
-.500000,1497.
.000000,3759.
.500000,1484.
1.000000,889.
1.500000,450.
2.000000,182.
2.500000,59.
3.000000,3.
3.500000,0.
4.000000,0.
4.500000,0.
5.000000,0.
5.500000,0.
6.000000,0.
6.500000,0.
7.000000,0.
7.500000,0.
8.000000,0.
8.500000,0.
9.000000,0.
9.500000,0.
10.000000,0.
